-17.91594, 11.04332, 2.03364, 89.059, -0.962, -83.319, 0.99311, 0.11605, -0.01643
-17.89348, 11.04414, 2.03403, 89.076, -0.937, -83.275, 0.99302, 0.11683, -0.01612
-17.87033, 11.04498, 2.03442, 89.099, -0.890, -83.232, 0.99294, 0.11759, -0.01573
-17.84380, 11.04590, 2.03480, 89.108, -0.837, -83.193, 0.99286, 0.11829, -0.01557
-17.81272, 11.04694, 2.03515, 89.104, -0.772, -83.164, 0.99279, 0.11881, -0.01564
-17.77774, 11.04809, 2.03549, 89.092, -0.692, -83.143, 0.99274, 0.11920, -0.01585
-17.74406, 11.04915, 2.03585, 89.076, -0.626, -83.105, 0.99266, 0.11986, -0.01613
-17.71498, 11.05001, 2.03624, 89.061, -0.591, -83.040, 0.99252, 0.12100, -0.01639
-17.68936, 11.05071, 2.03665, 89.039, -0.581, -82.951, 0.99232, 0.12254, -0.01676
-17.66595, 11.05130, 2.03710, 89.020, -0.579, -82.842, 0.99208, 0.12441, -0.01711
-17.64220, 11.05190, 2.03759, 89.013, -0.558, -82.730, 0.99183, 0.12636, -0.01723
-17.61876, 11.05252, 2.03811, 89.019, -0.507, -82.614, 0.99158, 0.12839, -0.01712
-17.59616, 11.05311, 2.03867, 89.034, -0.433, -82.489, 0.99129, 0.13058, -0.01685
-17.57130, 11.05370, 2.03930, 89.046, -0.363, -82.365, 0.99101, 0.13274, -0.01665
-17.54262, 11.05431, 2.03998, 89.036, -0.318, -82.250, 0.99074, 0.13473, -0.01683
-17.50935, 11.05494, 2.04073, 88.938, -0.289, -82.142, 0.99045, 0.13660, -0.01853
-17.47443, 11.05555, 2.04155, 88.786, -0.273, -82.038, 0.99015, 0.13839, -0.02118
-17.44270, 11.05610, 2.04238, 88.665, -0.260, -81.933, 0.98985, 0.14018, -0.02331
-17.41463, 11.05658, 2.04323, 88.578, -0.249, -81.823, 0.98954, 0.14208, -0.02481
-17.38909, 11.05700, 2.04413, 88.504, -0.243, -81.710, 0.98923, 0.14402, -0.02610
-17.36438, 11.05740, 2.04500, 88.446, -0.242, -81.609, 0.98895, 0.14576, -0.02712
-17.33916, 11.05780, 2.04583, 88.402, -0.248, -81.524, 0.98871, 0.14722, -0.02789
-17.31541, 11.05818, 2.04658, 88.382, -0.295, -81.451, 0.98852, 0.14846, -0.02824
-17.29091, 11.05856, 2.04733, 88.369, -0.355, -81.392, 0.98836, 0.14943, -0.02846
-17.26280, 11.05900, 2.04817, 88.336, -0.380, -81.346, 0.98823, 0.15021, -0.02903
-17.22990, 11.05953, 2.04910, 88.280, -0.375, -81.315, 0.98812, 0.15074, -0.03002
-17.19287, 11.06015, 2.05011, 88.205, -0.356, -81.301, 0.98804, 0.15097, -0.03132
-17.15708, 11.06069, 2.05113, 88.128, -0.327, -81.284, 0.98795, 0.15127, -0.03266
-17.12601, 11.06107, 2.05209, 88.061, -0.290, -81.250, 0.98782, 0.15187, -0.03384
-17.09857, 11.06131, 2.05306, 88.001, -0.237, -81.203, 0.98766, 0.15270, -0.03488
-17.07325, 11.06148, 2.05399, 87.940, -0.181, -81.149, 0.98747, 0.15365, -0.03595
-17.04720, 11.06170, 2.05486, 87.869, -0.146, -81.100, 0.98729, 0.15452, -0.03719
-17.02114, 11.06200, 2.05563, 87.785, -0.127, -81.059, 0.98712, 0.15521, -0.03865
-16.99560, 11.06234, 2.05631, 87.691, -0.117, -81.023, 0.98696, 0.15582, -0.04030
-16.96749, 11.06266, 2.05706, 87.597, -0.115, -80.979, 0.98677, 0.15658, -0.04192
